Z,N,spinAndParity,betaMinus(keV),massExcess(keV),bindingEnergyLDMFit(keV),bindingEnergy(keV),bindingEnergyUncertainty,bindingEnergyLDMFitUncertainty,halflife,A,I,J,parity,S,L,d,P,K,np,nn,T,BEpA,BE,semf,error_semf,dz,error_dz
11,20,3/2(+),15368.0,12246.0,-94.8,7398.7,5,5,1,31,0.2903225806451613,1.5,1.0,-0.5,2.0,0,0.0,3.1413806523913927,8,20,4.5,7.3987,229.3597,223.58951455177612,5.770185448223884,228.98366367112845,0.3760363288715496
11,22,(3/2+),18800.0,23800.0,-226.0,7090.0,14,14,1,33,0.3333333333333333,1.5,1.0,-0.5,2.0,0,1.199999760000048,3.207534329995826,8,20,5.5,7.09,233.97,223.57177576618864,10.398224233811362,232.04309382056226,1.9269061794377365
11,22,(3/2+),18800.0,23800.0,-226.0,7090.0,14,14,1,33,0.3333333333333333,1.5,1.0,-0.5,2.0,0,1.199999760000048,3.207534329995826,8,20,5.5,7.09,233.97,223.57177576618864,10.398224233811362,232.04309382056226,1.9269061794377365
11,22,(3/2+),18800.0,23800.0,-226.0,7090.0,14,14,1,33,0.3333333333333333,1.5,1.0,-0.5,2.0,0,1.199999760000048,3.207534329995826,8,20,5.5,7.09,233.97,223.57177576618864,10.398224233811362,232.04309382056226,1.9269061794377365
11,22,(3/2+),18800.0,23800.0,-226.0,7090.0,14,14,1,33,0.3333333333333333,1.5,1.0,-0.5,2.0,0,1.199999760000048,3.207534329995826,8,20,5.5,7.09,233.97,223.57177576618864,10.398224233811362,232.04309382056226,1.9269061794377365
11,10,3/2+,-13088.7,-2184.86,85.342,7765.5581,20,20,1,21,-0.047619047619047616,1.5,1.0,-0.5,2.0,0,1.199999760000048,2.7589241763811203,8,8,0.5,7.7655581,163.0767201,162.9341941483519,0.14252595164808213,160.47331374138287,2.6034063586171214
11,12,3/2+,-4056.18,-9529.8535,103.55585,8111.4936,20,20,0,23,0.043478260869565216,1.5,1.0,-0.5,2.0,0,1.71428546938779,2.8438669798515654,8,8,0.5,8.1114936,186.5643528,186.77127586601995,-0.2069230660199537,185.50809546422835,1.0562573357716474
11,11,3+,-4781.41,-5181.39,54.283,7915.662,6,6,1,22,0.0,3.0,1.0,-0.5,3.5,-1,1.4999997500000417,2.802039330655387,8,8,0.0,7.915662,174.144564,173.33093954522968,0.81362445477032,176.15419185691053,-2.0096278569105266
11,14,5/2+,3835.0,-9357.8,126.78,8101.4,5,5,1,25,0.12,2.5,1.0,0.5,2.0,0,1.9999997777778027,2.924017738212866,8,8,1.5,8.1014,202.535,203.32489870868469,-0.7898987086846887,203.17149458069096,-0.6364945806909645
11,13,4+,5515.677,-8417.901,87.5537,8063.4882,7,7,1,24,0.08333333333333333,4.0,1.0,-0.5,4.5,-1,1.8749997656250295,2.8844991406148166,8,8,1.0,8.0634882,193.5237168,193.39341049940137,0.13030630059861892,192.68188159155557,0.8418352084444223
11,13,1+,5515.677,-7945.701,87.5537,8063.4882,7,7,1,24,0.08333333333333333,1.0,1.0,-0.5,1.5,-1,1.8749997656250295,2.8844991406148166,8,8,1.0,8.0634882,193.5237168,193.39341049940137,0.13030630059861892,192.68188159155557,0.8418352084444223
11,13,1+,5515.677,-7945.701,87.5537,8063.4882,7,7,1,24,0.08333333333333333,1.0,1.0,-0.5,1.5,-1,1.8749997656250295,2.8844991406148166,8,8,1.0,8.0634882,193.5237168,193.39341049940137,0.13030630059861892,192.68188159155557,0.8418352084444223
11,16,5/2+,9069.0,-5518.0,72.42,7956.95,14,14,1,27,0.18518518518518517,2.5,1.0,0.5,2.0,0,1.71428546938779,3.0,8,20,2.5,7.95695,214.83765,214.23851851851862,0.5991314814813791,214.72629299138686,0.11135700861314035
11,16,5/2+,9069.0,-5518.0,72.42,7956.95,14,14,1,27,0.18518518518518517,2.5,1.0,0.5,2.0,0,1.71428546938779,3.0,8,20,2.5,7.95695,214.83765,214.23851851851862,0.5991314814813791,214.72629299138686,0.11135700861314035
11,15,3+,9354.0,-6861.0,52.46,8004.2,13,13,1,26,0.15384615384615385,3.0,1.0,-0.5,3.5,-1,1.8749997656250295,2.9624960684073702,8,20,2.0,8.004199999999999,208.1092,207.05044762998997,1.058752370010012,208.02493172001502,0.08426827998496833
11,18,3/2+,13292.0,2680.0,21.4,7682.2,3,3,1,29,0.2413793103448276,1.5,1.0,-0.5,2.0,0,1.199999760000048,3.072316825685847,8,20,3.5,7.6822,222.78379999999999,220.70013883122346,2.08366116877653,222.9245941742473,-0.14079417424730423
11,18,3/2+,13292.0,2680.0,21.4,7682.2,3,3,1,29,0.2413793103448276,1.5,1.0,-0.5,2.0,0,1.199999760000048,3.072316825685847,8,20,3.5,7.6822,222.78379999999999,220.70013883122346,2.08366116877653,222.9245941742473,-0.14079417424730423
