Z,A,M
 20, 80, 193.819
 21, 80, 159.500
 22, 80, 124.601
 23, 80,95.688
 24, 80,65.459
 25, 80,41.303
 26, 80,15.446
 27, 80,-4.248
 28, 80, -26.025
 29, 80, -39.301
 30, 80, -54.582
 31, 80, -60.803
 32, 80, -69.802
 33, 80, -72.178
 34, 80, -77.546
 35, 80, -76.007
 36, 80, -77.690
 37, 80, -72.178
 38, 80, -70.129
 39, 80, -60.591
 40, 80, -54.445
 41, 80, -37.459
 42, 80, -23.842
 43, 80,-2.688
 44, 80,15.072
 45, 80,40.121
 46, 80,62.067
 21, 81, 170.982
 22, 81, 136.303
 23, 81, 105.530
 24, 81,75.737
 25, 81,49.516
 26, 81,24.314
 27, 81, 2.363
 28, 81, -18.538
 29, 81, -34.380
 30, 81, -48.711
 31, 81, -59.959
 32, 81, -67.513
 33, 81, -72.618
 34, 81, -76.421
 35, 81, -77.888
 36, 81, -77.873
 37, 81, -75.637
 38, 81, -71.746
 39, 81, -65.755
 40, 81, -57.939
 41, 81, -46.265
 42, 81, -30.722
 43, 81, -13.319
 44, 81, 6.241
 45, 81,27.538
 46, 81,51.158
 48, 81, 104.111
 22, 82, 146.456
 23, 82, 116.023
 24, 82,84.373
 25, 82,58.702
 26, 82,31.443
 27, 82,10.255
 28, 82, -12.887
 29, 82, -27.869
 30, 82, -44.759
 31, 82, -54.973
 32, 82, -67.450
 33, 82, -71.058
 34, 82, -77.598
 35, 82, -77.450
 36, 82, -80.439
 37, 82, -76.457
 38, 82, -75.835
 39, 82, -67.954
 40, 82, -63.670
 41, 82, -51.577
 42, 82, -40.101
 43, 82, -20.794
 44, 82,-5.039
 45, 82,18.043
 46, 82,37.856
 48, 82,88.655
 21, 83, 194.668
 22, 83, 158.530
 23, 83, 126.331
 24, 83,95.070
 25, 83,67.428
 26, 83,40.769
 27, 83,17.420
 28, 83,-4.909
 29, 83, -22.338
 30, 83, -38.328
 31, 83, -51.205
 32, 83, -62.609
 33, 83, -71.162
 34, 83, -76.190
 35, 83, -78.899
 36, 83, -80.253
 37, 83, -79.392
 38, 83, -76.999
 39, 83, -72.499
 40, 83, -66.297
 41, 83, -57.829
 42, 83, -45.937
 43, 83, -30.612
 44, 83, -12.987
 45, 83, 6.397
 46, 83,27.963
 48, 83,76.705
 22, 84, 169.073
 23, 84, 137.175
 24, 84, 104.147
 25, 84,77.005
 26, 84,48.382
 27, 84,25.739
 28, 84, 1.262
 29, 84, -15.354
 30, 84, -33.784
 31, 84, -45.679
 32, 84, -59.736
 33, 84, -67.139
 34, 84, -77.032
 35, 84, -78.181
 36, 84, -82.396
 37, 84, -79.852
 38, 84, -80.576
 39, 84, -74.259
 40, 84, -71.428
 41, 84, -60.974
 42, 84, -53.940
 43, 84, -36.972
 44, 84, -23.403
 45, 84,-2.167
 46, 84,15.649
 47, 84,40.594
 48, 84,62.382
 21, 85, 219.004
 22, 85, 181.467
 23, 85, 147.894
 24, 85, 115.212
